iter	Passed	Remaining
0	330	49307
1	655	48503
2	956	46844
3	1260	46006
4	1594	46233
5	1906	45763
6	2206	45072
7	2515	44655
8	2832	44378
9	3117	43642
10	3405	43032
11	3708	42644
12	4002	42180
13	4288	41664
14	4587	41287
15	4877	40848
16	5162	40385
17	5443	39919
18	5746	39619
19	6020	39134
20	6298	38689
21	6584	38309
22	6863	37898
23	7145	37513
24	7383	36915
25	7645	36462
26	7931	36130
27	8211	35780
28	8446	35241
29	8724	34896
30	8980	34475
31	9265	34167
32	9516	33739
33	9805	33454
34	10062	33061
35	10286	32574
36	10575	32296
37	10865	32025
38	11144	31718
39	11408	31373
40	11681	31055
41	11984	30816
42	12238	30455
43	12521	30166
44	12763	29780
45	13026	29452
46	13270	29081
47	13541	28776
48	13797	28440
49	14098	28197
50	14377	27909
51	14629	27571
52	14897	27265
53	15136	26909
54	15405	26609
55	15644	26261
56	15942	26012
57	16179	25664
58	16435	25349
59	16723	25084
60	16979	24773
61	17224	24448
62	17454	24103
63	17716	23805
64	17977	23509
65	18234	23207
66	18454	22861
67	18698	22547
68	18977	22277
69	19276	22030
70	19500	21697
71	19758	21404
72	20018	21115
73	20278	20826
74	20558	20558
75	20846	20297
76	21110	20014
77	21338	19697
78	21607	19419
79	21840	19110
80	22095	18821
81	22319	18508
82	22558	18210
83	22853	17956
84	23138	17694
85	23428	17434
86	23643	17121
87	23930	16859
88	24191	16581
89	24454	16302
90	24714	16023
91	24980	15748
92	25226	15461
93	25492	15186
94	25796	14935
95	26046	14651
96	26256	14346
97	26498	14060
98	26748	13779
99	27019	13509
100	27298	13243
101	27529	12955
102	27808	12689
103	28076	12418
104	28328	12140
105	28582	11864
106	28845	11591
107	29140	11332
108	29384	11052
109	29619	10770
110	29863	10492
111	30125	10221
112	30345	9936
113	30621	9669
114	30879	9398
115	31143	9128
116	31393	8854
117	31615	8573
118	31880	8304
119	32152	8038
120	32392	7763
121	32663	7496
122	32952	7233
123	33170	6955
124	33420	6684
125	33666	6412
126	33914	6142
127	34164	5871
128	34414	5602
129	34663	5332
130	34922	5065
131	35199	4799
132	35469	4533
133	35720	4265
134	35954	3994
135	36244	3731
136	36463	3460
137	36728	3193
138	36981	2926
139	37201	2657
140	37456	2390
141	37709	2124
142	37963	1858
143	38213	1592
144	38443	1325
145	38712	1060
146	38946	794
147	39243	530
148	39514	265
149	39769	0
